,Full Name,Born,Current Age,Bats,Bowls,Matches,Died
2647,Rudi E Bryson,25/07/1968,52 years 102 days,Right Handed,Right Arm Fast Medium,7 (1997-1997),
2202,Mornantau Hayward,06/03/1977,43 years 243 days,Right Handed,Right Arm Fast,21 (1998-2002),
3014,Graeme C Smith,01/02/1981,39 years 277 days,Left Handed,Right Arm Medium,197 (2002-2013),
3018,John C Kent,07/05/1979,41 years 181 days,Right Handed,Right Arm Medium Fast,2 (2002-2002),
2258,Justin M Kemp,02/10/1977,43 years 33 days,Right Handed,Right Arm Fast Medium,85 (2001-2007),
2970,Andre Nel,15/07/1977,43 years 112 days,Right Handed,Right Arm Fast Medium,79 (2001-2008),
3658,Roelof E Van Der Merwe,31/12/1984,35 years 309 days,Right Handed,Left Arm Orthodox,15 (2009-2019),
4591,Daniel J Worrall,10/07/1991,29 years 117 days,Right Handed,Right Arm Fast Medium,3 (2016-2016),
4321,Rilee Roscoe Rossouw,09/10/1989,31 years 26 days,Left Handed,Right Arm Off Break,36 (2014-2016),
4588,Andile Lucky Phehlukwayo,03/03/1996,24 years 246 days,Left Handed,Right Arm Fast,58 (2016-),
4594,Christopher P Tremain,10/08/1991,29 years 86 days,Right Handed,Right Arm Medium Fast,4 (2016-2016),
4848,Janneman Nieuwoudt Malan,18/04/1996,24 years 200 days,Right Handed,Right Arm Leg Break,3 (2020-2020),
4370,Temba Bavuma,17/05/1990,30 years 171 days,Right Handed,Right Arm Medium,6 (2016-),
5829,Kyle Verreynne,12/05/1997,23 years 176 days,Right Handed,Right Arm Off Break,3 (2020-),
4601,Keshav A Maharaj,07/02/1990,30 years 271 days,Right Handed,Left Arm Orthodox,7 (2017-),
4929,Anrich Nortje,16/11/1993,26 years 354 days,Right Handed,Right Arm Fast,7 (2019-),
4562,Tabraiz Shamsi,18/02/1990,30 years 260 days,Right Handed,Left Arm Wrist Spin (Chinaman),22 (2016-),
2844,Michael J R Rindel,09/02/1963,57 years 269 days,Left Handed,Left Arm Orthodox,22 (1994-1999),
3013,Ashwell Gavin Prince,28/05/1977,43 years 160 days,Left Handed,,52 (2002-2007),
2991,Charl K Langeveldt,17/12/1974,45 years 323 days,Right Handed,Right Arm Fast Medium,72 (2001-2010),
3990,Aaron M Phangiso,21/01/1984,36 years 288 days,Right Handed,Left Arm Orthodox,21 (2013-2016),
4817,Hendrik Erasmus Van Der Dussen,07/02/1989,31 years 271 days,Right Handed,Right Arm Leg Break,21 (2019-),
3989,Christopher Henry Morris,30/04/1987,33 years 188 days,Right Handed,Right Arm Fast Medium,42 (2013-),
1889,Sidath Wettimuny,12/08/1956,64 years 84 days,Right Handed,Right Arm Medium,35 (1982-1987),
1594,Sampathawudage A R Silva,12/12/1960,59 years 328 days,Left Handed,,20 (1984-1985),
0964,Don S B P Kuruppu,05/01/1962,58 years 304 days,Right Handed,,54 (1983-1990),
0447,Roy L Dias,18/10/1952,68 years 17 days,Right Handed,Right Arm Medium,58 (1979-1987),
1162,Louis Rohan Duleep Mendis,25/08/1952,68 years 71 days,Right Handed,,79 (1975-1989),
0432,Pinnaduwage A de Silva,17/10/1965,55 years 18 days,Right Handed,Right Arm Off Break,308 (1984-2003),
0427,Ashantha L F De Mel,09/05/1959,61 years 179 days,Right Handed,Right Arm Fast Medium,57 (1982-1987),
1444,Joseph Ravindran Ratnayeke,02/05/1960,60 years 186 days,Left Handed,Right Arm Fast Medium,78 (1982-1990),
1443,Rumesh Joseph Ratnayake,02/01/1964,56 years 307 days,Right Handed,Right Arm Fast Medium,70 (1982-1993),
0429,Dandeniyage S De Silva,11/06/1942,78 years 146 days,Right Handed,Right Arm Leg Break,41 (1975-1985),
0878,Vinothen Bede John,27/05/1960,60 years 161 days,Right Handed,Right Arm Fast Medium,45 (1982-1987),
1054,Ranjan Senerath Madugalle,22/04/1959,61 years 196 days,Right Handed,Right Arm Off Break,63 (1979-1988),
2742,Shaul H U Karnain,11/08/1962,58 years 85 days,Right Handed,Right Arm Medium,19 (1984-1990),
2928,Dudley M Vonhagt,31/03/1965,55 years 218 days,Right Handed,Right Arm Medium,1 (1985-1985),
1433,Arjuna Ranatunga,01/12/1963,56 years 339 days,Left Handed,Right Arm Medium,269 (1982-1999),
1057,Roshan Siriwardene Mahanama,31/05/1966,54 years 157 days,Right Handed,,213 (1986-1999),
0679,Asanka Pradeep Gurusinha,16/09/1966,54 years 49 days,Left Handed,Right Arm Medium,147 (1985-1996),
0905,Sanath M S Kaluperuma,22/10/1961,59 years 13 days,Right Handed,Right Arm Off Break,2 (1988-1988),
0422,Ronald G De Alwis,15/02/1959,,Right Handed,,31 (1983-1988),12/01/2013
0967,Graeme F Labrooy,09/06/1954,66 years 148 days,Right Handed,Right Arm Fast Medium,44 (1986-1992),
1425,Champaka P H Ramanayake,08/01/1965,55 years 301 days,Right Handed,Right Arm Fast Medium,62 (1986-1995),
1527,Maitipage Athula Rohitha Samarasekera,04/08/1961,59 years 92 days,Right Handed,Right Arm Medium,39 (1983-1994),
1752,Hashan Prasantha Tillakaratne,14/07/1967,53 years 113 days,Left Handed,Right Arm Off Break,200 (1986-2003),
0872,Sanath Teran Jayasuriya,30/06/1969,51 years 127 days,Left Handed,Left Arm Orthodox,445 (1989-2011),
1907,Kapila I W Wijegunawardene,23/11/1964,55 years 347 days,Right Handed,Right Arm Fast Medium,26 (1988-1992),
0430,Ellawalakankanamage De Silva,28/03/1956,64 years 221 days,Left Handed,Right Arm Leg Break,28 (1986-1992),
1055,Arachchige W R Madurasinghe,30/01/1961,59 years 279 days,Left Handed,Right Arm Off Break,12 (1988-1992),
1969,Ruwan S Kalpage,19/02/1970,50 years 259 days,Left Handed,Right Arm Off Break/Right Arm Medium,86 (1992-1999),
0079,Sangarange D Anurasiri,25/02/1966,54 years 253 days,Right Handed,Left Arm Orthodox,45 (1986-1994),
1902,Gallage Pramodya Wickramasinghe,14/08/1971,49 years 82 days,Right Handed,Right Arm Fast Medium,134 (1990-2002),
0906,Romesh S Kaluwitharana,24/11/1969,50 years 346 days,Right Handed,,189 (1990-2004),
1971,Handunnettige Deepthi Priyantha Kumar Dharmasena,24/04/1971,49 years 194 days,Right Handed,Right Arm Off Break,141 (1994-2004),
2000,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,21/01/1974,46 years 288 days,Left Handed,Left Arm Fast Medium,322 (1994-2008),
1234,Muttiah Muralitharan,17/04/1972,48 years 201 days,Right Handed,Right Arm Off Break,350 (1993-2011),
0100,Marvan S Atapattu,22/11/1972,47 years 348 days,Right Handed,Right Arm Off Break,268 (1990-2007),
2177,Umagiliya D U Chandana,07/05/1972,48 years 181 days,Right Handed,Right Arm Leg Break,147 (1994-2007),
3007,Ryan J Campbell,07/02/1972,48 years 271 days,Right Handed,Right Arm Off Break,2 (2002-2002),
2098,Russel P Arnold,25/10/1973,47 years 10 days,Left Handed,Right Arm Off Break,180 (1997-2007),
2223,Congenige Randhi Dilhara Fernando,19/07/1979,41 years 108 days,Right Handed,Right Arm Fast Medium,147 (2001-2012),
3034,Pulasthi W Gunaratne,27/09/1973,47 years 38 days,Right Handed,Right Arm Fast Medium,23 (2002-2003),
2992,Thudellage C B Fernando,22/08/1980,40 years 74 days,Right Handed,Right Arm Fast Medium,17 (2001-2003),
2175,Dihan Avishka Gunawardene,26/05/1977,43 years 162 days,Left Handed,,61 (1998-2006),
3030,Jehan Mubarak,10/02/1981,39 years 268 days,Left Handed,Right Arm Off Break,40 (2002-2013),
3029,Materba K G C P Lakshitha,04/01/1979,41 years 305 days,Right Handed,Right Arm Fast Medium,7 (2002-2003),
2993,Ratnayake A P Nissanka,25/10/1980,40 years 10 days,Right Handed,Right Arm Medium Fast,23 (2001-2003),
2197,Tillakaratne Mudiyanselage Dilshan,14/10/1976,44 years 21 days,Right Handed,Right Arm Medium,330 (1999-2016),
3147,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,22/07/1982,38 years 105 days,Right Handed,Right Arm Fast Medium,184 (2003-2017),
2169,Panagodage D R L Perera,27/10/1976,44 years 8 days,,Left Arm Fast Medium,19 (1999-2007),
3291,Warushavithana Upul Tharanga,02/02/1985,35 years 276 days,Left Handed,,235 (2005-),
2962,Withanaarchchige C A Ganegama,29/03/1981,39 years 220 days,Right Handed,Right Arm Fast Medium,4 (2001-2006),
3340,Chamara Kantha Kapugedera,24/02/1987,33 years 254 days,Right Handed,Right Arm Medium,102 (2006-2017),
3501,Mahawaduge Dilruwan Kamalaneth Perera,22/07/1982,38 years 105 days,Right Handed,Right Arm Off Break,13 (2007-),
2882,Lindamlilage P C Silva,14/12/1979,40 years 326 days,Right Handed,Right Arm Leg Break,75 (1999-2011),
3466,Merenna K D I Amerasinghe,05/03/1978,42 years 244 days,Right Handed,Right Arm Fast Medium,8 (2007-2008),
3787,Balapuwaduge Manukulasuriya Amith Jeevan Mendis,15/01/1983,37 years 294 days,Left Handed,Right Arm Leg Break,58 (2010-2019),
3746,Hewa Kaluhalamullage Suraj Randiv Kaluhalamulla,30/01/1985,35 years 279 days,Right Handed,Right Arm Off Break,31 (2009-2016),
3928,Senanayake Mudiyanselage Sachithra Madhushanka Senanayake,09/02/1985,35 years 269 days,Right Handed,Right Arm Off Break,49 (2012-2015),
2185,Herath Mudiyanselage Rangana Keerthi Bandara Herath,19/03/1978,42 years 230 days,Left Handed,Left Arm Orthodox,71 (2004-2015),
3995,Benjamin C J Cutting,30/01/1987,33 years 279 days,Right Handed,Right Arm Fast Medium,4 (2013-2014),
1937,Roger D Woolley,16/09/1954,66 years 49 days,Right Handed,,4 (1983-1983),
0728,Upul Chandika Hathurusingha,13/09/1968,52 years 52 days,Right Handed,Right Arm Medium Fast,35 (1992-1999),
2095,Demuni Nuwan Tharanga Zoysa,13/05/1978,42 years 175 days,Left Handed,Left Arm Fast Medium,95 (1997-2007),
3880,Ranaweera Mudiyanselage Shaminda Eranga,23/06/1986,34 years 134 days,Right Handed,Right Arm Medium Fast,19 (2011-2016),
3881,Seekkuge Prasanna,27/06/1985,35 years 130 days,Right Handed,Right Arm Leg Break,40 (2011-),
4485,Balapuwaduge Kusal Gimhan Mendis,02/02/1995,25 years 276 days,Right Handed,,76 (2016-),
4472,Dhananjaya Maduranga de Silva,06/09/1991,29 years 59 days,Right Handed,Right Arm Off Break,45 (2016-),
4453,Tisse Appuhamilage Milinda Siriwardana,04/12/1985,34 years 336 days,Left Handed,Left Arm Orthodox,27 (2015-),
4580,M Amila Aponso,23/06/1993,27 years 134 days,Right Handed,Left Arm Orthodox,9 (2016-),
4571,Paththamperuma Arachchige Don Lakshan Rangika Sandakan,10/06/1991,29 years 147 days,Right Handed,Left Arm Wrist Spin (Chinaman),24 (2016-),
4487,Mashtayage Danushka Gunathilaka,17/03/1991,29 years 232 days,Left Handed,Right Arm Off Break,38 (2015-),
4581,Weerahandige Inol Avishka Fernando,05/04/1998,22 years 213 days,Right Handed,Right Arm Medium Fast,18 (2016-),
4017,Angelo Kanishka Perera,23/02/1990,30 years 255 days,Right Handed,Left Arm Orthodox,6 (2013-),
4454,Sachith Shanaka Pathirana,21/03/1989,31 years 228 days,Left Handed,Left Arm Orthodox,18 (2015-),
4476,Madagamagamage Dasun Shanaka,09/09/1991,29 years 56 days,Right Handed,Right Arm Medium,22 (2016-),
1970,Pubudu B Dassanayake,11/07/1970,50 years 116 days,Right Handed,,16 (1993-1994),
2792,Arachchige M N Munasinghe,10/12/1971,48 years 330 days,Right Handed,Right Arm Fast Medium,5 (1994-1996),
3171,Mohamed Farveez Maharoof,07/09/1984,36 years 58 days,Right Handed,Right Arm Fast Medium,109 (2004-2016),
2144,C Malinga Bandara,31/12/1979,40 years 309 days,Right Handed,Right Arm Leg Break,31 (2006-2010),
0569,Roy C Fredericks,11/11/1942,,Left Handed,Left Arm Wrist Spin (Chinaman),12 (1973-1977),05/09/2000
0648,Cuthbert Gordon Greenidge,01/05/1951,69 years 187 days,Right Handed,Right Arm Off Break,128 (1975-1991),
1509,Lawrence G Rowe,08/01/1949,71 years 301 days,Right Handed,Left Arm Fast Medium,11 (1975-1980),
1470,Isaac Vivian Alexander Richards,07/03/1952,68 years 242 days,Right Handed,Right Arm Off Break,187 (1975-1991),
1024,Clive Hubert Lloyd,31/08/1944,76 years 65 days,Left Handed,Right Arm Medium,87 (1973-1985),
0903,Alvin I Kallicharran,21/03/1949,71 years 228 days,Left Handed,Right Arm Off Break,31 (1973-1981),
0896,Bernard D Julien,13/03/1950,70 years 236 days,Right Handed,Left Arm Medium Fast,12 (1973-1977),
1240,Deryck Lance Murray,20/05/1943,77 years 168 days,Right Handed,,26 (1973-1980),
0217,Keith D Boyce,11/10/1943,,Right Handed,Right Arm Fast,8 (1973-1975),11/10/1996
0780,Vanburn A Holder,08/10/1945,75 years 27 days,Right Handed,Right Arm Fast Medium,12 (1973-1978),
1489,Anderson M E Roberts,29/01/1951,69 years 280 days,Right Handed,Right Arm Fast,56 (1975-1983),
0734,Desmond L Haynes,15/02/1956,64 years 263 days,Right Handed,Right Arm Medium,238 (1978-1994),
0938,Collis L King,11/06/1951,69 years 146 days,Right Handed,Right Arm Medium,18 (1976-1980),
0590,Joel Garner,16/12/1952,67 years 324 days,Right Handed,Right Arm Fast,98 (1977-1987),
0781,Michael A Holding,16/02/1954,66 years 262 days,Right Handed,Right Arm Fast,102 (1976-1987),
0390,Colin E H Croft,15/03/1953,67 years 234 days,Right Handed,Right Arm Fast,19 (1977-1981),
1335,Derek R Parry,22/12/1954,65 years 318 days,Right Handed,Right Arm Off Break,6 (1978-1980),
1891,Davenell F Whatmore,16/03/1954,66 years 233 days,Right Handed,,1 (1980-1980),
0110,Sheik F A F Bacchus,31/01/1954,66 years 278 days,Right Handed,Right Arm Medium,29 (1978-1983),
1239,David A Murray,29/09/1950,70 years 36 days,Right Handed,,10 (1973-1981),
1090,Malcolm D Marshall,18/04/1958,,Right Handed,Right Arm Fast,136 (1980-1992),05/11/1999
0477,Peter Jeffrey Leroy Dujon,28/05/1956,64 years 160 days,Right Handed,,169 (1981-1991),
0625,Hilary A Gomes,13/07/1953,67 years 114 days,Left Handed,Right Arm Medium,83 (1978-1987),
0334,Sylvester T Clarke,11/12/1954,,Right Handed,Right Arm Fast,10 (1978-1982),04/12/1999
2691,Richard S Gabriel,04/06/1952,68 years 153 days,Right Handed,Right Arm Off Break,11 (1984-1984),
0129,Eldine A E Baptiste,12/03/1960,60 years 237 days,Right Handed,Right Arm Medium Fast,43 (1983-1990),
0409,Wayne W Daniel,16/01/1956,64 years 293 days,Right Handed,Right Arm Fast,18 (1978-1984),
1476,Richard B Richardson,12/01/1962,58 years 297 days,Right Handed,Right Arm Medium,224 (1983-1996),
1030,Augustine L Logie,28/09/1960,60 years 37 days,Right Handed,Right Arm Off Break,158 (1981-1993),
0419,Winston W Davis,18/09/1958,62 years 47 days,Right Handed,Right Arm Fast,35 (1983-1988),
0784,Robert G Holland,19/10/1946,,Right Handed,Right Arm Leg Break,2 (1985-1985),17/09/2017
0707,Roger A Harper,17/03/1963,57 years 232 days,Right Handed,Right Arm Off Break,105 (1983-1996),
0643,Anthony H Gray,23/05/1963,57 years 165 days,Right Handed,Right Arm Fast,25 (1985-1991),
1843,Courtney A Walsh,30/10/1962,58 years 5 days,Right Handed,Right Arm Fast,205 (1985-2000),
1351,Thelston R O Payne,13/02/1957,63 years 265 days,Left Handed,,7 (1984-1987),
0169,Winston K M Benjamin,31/12/1964,55 years 309 days,Right Handed,Right Arm Fast,85 (1986-1995),
0791,Carl L Hooper,15/12/1966,53 years 325 days,Right Handed,Right Arm Off Break,227 (1987-2003),
0065,Curtly E L Ambrose,21/09/1963,57 years 44 days,Left Handed,Right Arm Fast,176 (1988-2000),
0185,Ian R Bishop,24/10/1967,53 years 11 days,Right Handed,Right Arm Fast,84 (1988-1997),
2123,Philo A Wallace,02/08/1970,50 years 94 days,Right Handed,Right Arm Medium,33 (1991-2000),
0979,Brian C Lara,02/05/1969,51 years 186 days,Left Handed,Left Arm Wrist Spin (Chinaman),299 (1990-2007),
0173,Carlisle A Best,14/05/1959,61 years 174 days,Right Handed,Right Arm Off Break,24 (1986-1992),
0396,Anderson Cleophas Cummins,07/05/1966,54 years 181 days,Right Handed,Right Arm Fast Medium,76 (1991-2007),
1914,David Williams,04/11/1963,57 years 0 days,Right Handed,,36 (1988-1997),
1350,Balfour P Patterson,15/09/1961,59 years 50 days,Right Handed,Right Arm Fast,59 (1986-1993),
0095,Keith L T Arthurton,21/02/1965,55 years 257 days,Left Handed,Left Arm Orthodox,105 (1988-1999),
0168,Kenneth C G Benjamin,08/04/1967,53 years 210 days,Right Handed,Right Arm Fast Medium,26 (1992-1996),
1595,Philip V Simmons,18/04/1963,57 years 200 days,Right Handed,Right Arm Medium,143 (1987-1999),
1242,Junior Randalph Murray,20/01/1968,52 years 289 days,Right Handed,,55 (1992-1999),
1980,Stuart C Williams,12/08/1969,51 years 84 days,Right Handed,,57 (1994-1999),
2015,Sherwin L Campbell,01/11/1970,50 years 3 days,Right Handed,Right Arm Off Break,90 (1994-2001),
1979,Shivnarine Chanderpaul,16/08/1974,46 years 80 days,Left Handed,Right Arm Leg Break,268 (1994-2011),
0009,James C Adams,09/01/1968,52 years 300 days,Left Handed,Left Arm Orthodox,127 (1992-2001),
2025,Ottis D Gibson,16/03/1969,51 years 233 days,Right Handed,Right Arm Fast,15 (1995-1997),
2020,Courtney O Browne,07/12/1970,49 years 333 days,Right Handed,,46 (1995-2005),
2050,Robert G Samuels,13/03/1971,49 years 236 days,Left Handed,,8 (1996-1997),
2127,Nixon A M McLean,28/07/1973,47 years 99 days,Right Handed,Right Arm Fast,45 (1996-2003),
2088,Adrian F G Griffith,19/11/1971,48 years 351 days,Left Handed,Right Arm Medium,9 (1996-2000),
2093,Roland I C Holder,22/12/1967,52 years 318 days,Right Handed,Right Arm Medium,37 (1993-1997),
2898,Anthony M Stuart,02/01/1970,50 years 307 days,Right Handed,Right Arm Fast Medium,3 (1997-1997),
2216,Wavell W Hinds,07/09/1976,44 years 58 days,Left Handed,Right Arm Medium,119 (1999-2010),
2203,Ricardo L Powell,16/12/1978,41 years 324 days,Right Handed,,109 (1999-2005),
2154,Ridley D Jacobs,26/11/1967,52 years 344 days,Left Handed,,147 (1996-2004),
2940,Laurie R Williams,12/12/1968,51 years 328 days,Right Handed,Right Arm Medium,15 (1996-2001),
2229,Mahendra V Nagamootoo,09/10/1975,45 years 26 days,Left Handed,Right Arm Leg Break,24 (2000-2002),
2250,Marlon I Black,07/06/1975,45 years 150 days,Right Handed,Right Arm Fast Medium,5 (2001-2001),
2162,Darren Ganga,14/01/1979,41 years 295 days,Right Handed,,35 (1999-2006),
2739,Sylvester C Joseph,05/09/1978,42 years 60 days,Right Handed,Right Arm Off Break,13 (2000-2005),
2007,Cameron E Cuffy,08/02/1970,50 years 270 days,Right Handed,Right Arm Fast,41 (1994-2002),
2220,Ramnaresh R Sarwan,23/06/1980,40 years 134 days,Right Handed,Right Arm Leg Break,181 (2000-2013),
3166,Dwayne J J Bravo,07/10/1983,37 years 28 days,Right Handed,Right Arm Medium,164 (2004-2014),
2097,Merwyn V Dillon,05/06/1974,46 years 152 days,Right Handed,Right Arm Fast Medium,108 (1997-2005),
3174,Ian D R Bradshaw,09/07/1974,46 years 118 days,Left Handed,Left Arm Fast Medium,62 (2004-2007),
2172,Pedro T Collins,12/08/1976,44 years 84 days,Right Handed,Left Arm Fast Medium,30 (1999-2005),
3012,Runako S Morton,22/07/1978,,Right Handed,Right Arm Off Break,56 (2002-2010),04/03/2012
3710,Travis M Dowlin,24/02/1977,43 years 254 days,Right Handed,Right Arm Off Break,11 (2009-2010),
3447,Lendl M P Simmons,25/01/1985,35 years 284 days,Right Handed,Right Arm Medium Fast,68 (2006-2015),
3276,Narsingh Deonarine,08/08/1983,37 years 88 days,Left Handed,Right Arm Off Break,31 (2005-2015),
3285,Denesh Ramdin,13/10/1985,35 years 22 days,Right Handed,,139 (2005-2016),
3157,Dwayne R Smith,12/04/1983,37 years 206 days,Right Handed,Right Arm Medium,105 (2004-2015),
3149,Ravindranath Rampaul,15/10/1984,36 years 20 days,Left Handed,Right Arm Fast Medium,92 (2003-2015),
3720,Kieran Omar Akeem Powell,06/03/1990,30 years 243 days,Left Handed,Right Arm Medium,46 (2009-),
3703,Darren M Bravo,06/02/1989,31 years 272 days,Left Handed,Right Arm Medium Fast,113 (2009-),
3718,Devon C Thomas,12/11/1989,30 years 358 days,Right Handed,Right Arm Medium,21 (2009-2013),
3228,Darren J G Sammy,20/12/1983,36 years 320 days,Right Handed,Right Arm Medium Fast,126 (2004-2015),
3922,Sunil Philip Narine,26/05/1988,32 years 162 days,Left Handed,Right Arm Off Break,65 (2011-2016),
3903,Johnson Charles,14/01/1989,31 years 295 days,Right Handed,,48 (2012-2016),
3836,Andre Dwayne Russell,29/04/1988,32 years 189 days,Right Handed,Right Arm Fast,56 (2011-),
3114,Tino L Best,26/08/1981,39 years 70 days,Right Handed,Right Arm Fast Medium,26 (2004-2014),
0647,Alvin E Greenidge,20/08/1956,64 years 76 days,Right Handed,,1 (1978-1978),
1580,Irvine T Shillingford,18/04/1944,76 years 200 days,Right Handed,,2 (1978-1978),
1582,Sew Shivnarine,13/05/1952,68 years 175 days,Right Handed,Left Arm Orthodox,1 (1978-1978),
1365,Norbert Phillip,12/06/1948,72 years 145 days,Right Handed,Right Arm Fast Medium,1 (1978-1978),
1621,Milton A Small,12/02/1964,56 years 266 days,Right Handed,Right Arm Fast Medium,2 (1984-1984),
2672,Vasbert C Drakes,05/08/1969,51 years 91 days,Right Handed,Right Arm Fast,34 (1995-2004),
2646,Henderson R Bryan,21/03/1970,50 years 228 days,Right Handed,Right Arm Fast Medium,15 (1999-1999),
2178,Nehemiah O Perry,16/06/1968,52 years 141 days,Right Handed,Right Arm Off Break,21 (1999-2000),
2165,Reon D King,06/10/1975,45 years 29 days,Right Handed,Right Arm Fast Medium,50 (1998-2005),
3105,Devon S Smith,21/10/1981,39 years 14 days,Left Handed,Right Arm Off Break,47 (2003-2013),
3115,Omari Ahmed Clemente Banks,17/07/1982,38 years 110 days,Right Handed,Right Arm Off Break,5 (2003-2005),
3113,Carlton S Baugh,23/06/1982,38 years 134 days,Right Handed,Right Arm Leg Break,47 (2003-2012),
2180,Corey D Collymore,21/12/1977,42 years 319 days,Right Handed,Right Arm Fast Medium,84 (1999-2007),
3120,Ryan O Hurley,13/09/1975,45 years 52 days,Right Handed,Right Arm Off Break,9 (2003-2004),
3112,David E Bernard,19/07/1981,39 years 108 days,Right Handed,,20 (2003-2010),
3269,Xavier Melbourne Marshall,27/03/1986,34 years 222 days,Right Handed,Right Arm Off Break,37 (2005-),
3562,Andre D S Fletcher,28/11/1987,32 years 342 days,Right Handed,Right Arm Medium Fast,25 (2008-2016),
3022,Daren B Powell,15/04/1978,42 years 203 days,Right Handed,Right Arm Fast Medium,55 (2002-2009),
3125,Fidel H Edwards,06/02/1982,38 years 272 days,Right Handed,Right Arm Fast,50 (2003-2009),
3543,Sulieman J Benn,22/07/1981,39 years 105 days,Left Handed,Left Arm Orthodox,47 (2008-2016),
3739,Adrian B Barath,14/04/1990,30 years 204 days,Right Handed,Right Arm Off Break,14 (2010-2012),
3122,Jerome E Taylor,22/06/1984,36 years 135 days,Right Handed,Right Arm Fast,90 (2003-2017),
3952,Shannon Terry Gabriel,28/04/1988,32 years 190 days,Right Handed,Right Arm Fast Medium,25 (2016-),
0909,Rohan Bholalall Kanhai,26/12/1935,84 years 314 days,Right Handed,Right Arm Medium,7 (1973-1975),
3357,Mark J Cosgrove,14/06/1984,36 years 143 days,Left Handed,Right Arm Medium,3 (2006-2006),
0549,Andrew Flower,28/04/1968,52 years 190 days,Left Handed,Right Arm Off Break,213 (1992-2003),
0550,Grant W Flower,20/12/1970,49 years 320 days,Right Handed,Left Arm Orthodox,221 (1992-2010),
0289,Alistair D R Campbell,23/09/1972,48 years 42 days,Left Handed,Right Arm Off Break,188 (1992-2003),
0801,David L Houghton,23/06/1957,63 years 134 days,Right Handed,Right Arm Off Break,63 (1983-1997),
1983,Mark H Dekker,05/12/1969,50 years 335 days,Right Handed,Left Arm Medium,23 (1992-1996),
1993,Wayne Robert James,27/08/1965,55 years 69 days,Right Handed,,11 (1992-1996),
2767,Gary C Martin,30/05/1966,54 years 158 days,Right Handed,Right Arm Medium,5 (1994-1995),
2005,Paul A Strang,28/07/1970,50 years 99 days,Right Handed,Right Arm Leg Break,95 (1994-2001),
0227,Eddo A Brandes,05/03/1963,57 years 244 days,Right Handed,Right Arm Fast Medium,59 (1987-1999),
1986,Heath H Streak,16/03/1974,46 years 233 days,Right Handed,Right Arm Fast Medium,189 (1993-2005),
0226,David H Brain,04/10/1964,56 years 31 days,Right Handed,Left Arm Fast Medium,23 (1992-1995),
1987,Guy J Whittall,05/09/1972,48 years 60 days,Right Handed,Right Arm Fast Medium,147 (1993-2003),
2016,Stuart V Carlisle,10/05/1972,48 years 178 days,Right Handed,Right Arm Medium,111 (1995-2005),
2111,Gavin J Rennie,12/01/1976,44 years 297 days,Left Handed,Left Arm Orthodox,42 (1996-2003),
2135,Dirk P Viljoen,11/03/1977,43 years 238 days,Left Handed,Left Arm Orthodox,53 (1997-2001),
2222,Mluleki L Nkala,01/04/1981,39 years 217 days,Right Handed,Right Arm Fast Medium,50 (1998-2006),
2690,Travis J Friend,07/01/1981,39 years 302 days,Right Handed,Right Arm Fast,51 (2000-2004),
2218,Brian A Murphy,01/12/1976,43 years 339 days,Right Handed,Right Arm Leg Break,31 (2000-2003),
2756,Angus J Mackay,13/06/1967,53 years 144 days,Right Handed,Right Arm Fast Medium,3 (2001-2001),
2017,Bryan Colin Strang,09/06/1972,48 years 148 days,Right Handed,Left Arm Fast Medium,49 (1995-2001),
2157,Neil C Johnson,24/01/1970,50 years 285 days,Left Handed,Right Arm Fast Medium,48 (1998-2000),
2134,Trevor N Madondo,22/11/1976,,Right Handed,Right Arm Medium,13 (1998-2001),11/06/2001
2125,Murray W Goodwin,11/12/1972,47 years 329 days,Right Handed,Right Arm Leg Break,71 (1998-2000),
2637,Arnoldus M Blignaut,01/08/1978,42 years 95 days,Left Handed,Right Arm Fast Medium,54 (1999-2010),
1985,John A Rennie,20/07/1970,50 years 107 days,Right Handed,Right Arm Medium,42 (1993-2000),
2066,Andrew Richard Whittall,28/03/1973,47 years 221 days,Right Handed,Right Arm Off Break,63 (1996-2000),
2230,David T Mutendera,25/01/1979,41 years 284 days,Right Handed,Right Arm Fast Medium,9 (1999-2001),
2194,Gary B Brent,13/01/1976,44 years 296 days,Right Handed,Right Arm Medium,70 (1996-2008),
2035,Craig B Wishart,09/01/1974,46 years 300 days,Right Handed,Right Arm Medium,90 (1996-2005),
2961,Dion D Ebrahim,07/08/1980,40 years 89 days,Right Handed,Right Arm Medium,82 (2001-2005),
2975,Tatenda Taibu,14/05/1983,37 years 174 days,Right Handed,Right Arm Off Break,150 (2001-2012),
2257,Douglas A Marillier,24/04/1978,42 years 194 days,Right Handed,Right Arm Medium,48 (2000-2003),
2984,Douglas T Hondo,07/07/1979,41 years 120 days,Right Handed,Right Arm Fast Medium,56 (2001-2005),
3059,Stuart Matsikenyeri,03/05/1983,37 years 185 days,Right Handed,Right Arm Off Break,113 (2002-2015),
3141,Vusimuzi Sibanda,10/10/1983,37 years 25 days,Right Handed,Right Arm Medium,127 (2003-2016),
2926,Mark A Vermeulen,02/03/1979,41 years 247 days,Right Handed,Right Arm Off Break,43 (2000-2009),
3154,Alester Maregwede,05/08/1981,39 years 91 days,Right Handed,,11 (2003-2005),
3173,Tawanda Mupariwa,16/04/1985,35 years 202 days,Right Handed,Right Arm Fast Medium,40 (2004-2016),
